ImageFiles,Show Attend And Tell,Novel Object Captioner,Decoupled Novel Object Captioner,Object Classes per Image,Object Instances per Image,Length of Caption
b00004633_21i57n_20150522_020747e.jpg,a group of people sitting around a table.,A man in a dark shirt is sitting on a motorcycle.,a group of people sitting around a table,2,7,"[8, 11, 8]"
b00004740_21i57n_20150522_132027e.jpg,a man is sitting on a skateboard in the snow.,A man is holding a white and blue cake.,a person with a cake on a dining table,1,1,"[10, 9, 9]"
b00002506_21i57n_20150517_133437e.jpg,a man standing on top of a lush green field.,A man is standing on a skateboard in the middle of a field.,a person is flying over a beach with a person,2,4,"[10, 13, 10]"
b00000858_21i57n_20150518_130132e.jpg,a man sitting at a table with a laptop.,A man is sitting on a chair with a laptop.,a man sitting at a table with a chair,3,9,"[9, 10, 9]"
b00002583_21i57n_20150517_140538e.jpg,a person on a beach flying a kite.,A person on a skateboard is in the air.,a kite is flying a kite on the beach,2,2,"[8, 9, 9]"
b00004676_21i57n_20150522_022241e.jpg,a person is looking at a laptop.,A shining light shining on a dark light in a dark dark room.,a person is looking at a person in the mirror,0,0,"[7, 13, 10]"
b00002619_21i57n_20150517_142006e.jpg,a view of a beach with a beach.,A man is sitting on a bench in the street.,a person is parked on the beach near a beach,0,0,"[8, 10, 10]"
b00004962_21i57n_20150512_131929e.jpg,a wooden bench sitting on top of a wooden bench.,A white and black dog sitting on a wooden bench.,a bed with a bed and a bed,0,0,"[10, 10, 8]"
b00000379_21i57n_20150526_125932e.jpg,a person is holding a glass of wine.,A glass table with a glass of green glass.,a person with a person on it with a person,1,1,"[8, 9, 10]"
b00000403_21i57n_20150525_215830e.jpg,a group of people sitting around a table.,A man is sitting at a table with a large cake in his hand.,a man is sitting on a bicycle with a bicycle,3,6,"[8, 14, 10]"
b00005709_21i57n_20150524_021419e.jpg,a view of a building with an umbrella.,A man in a green shirt is holding a glass of green and white.,a person is standing in front of a bicycle,0,0,"[8, 14, 9]"
b00005580_21i57n_20150523_172512e.jpg,a couple of people riding bikes down a street.,A man is riding a bicycle with a helmet on.,a group of people riding bikes down a street,3,9,"[9, 10, 9]"
b00002660_21i57n_20150517_143415e.jpg,a person flying a kite on a beach.,A man is flying a kite in the sky.,a kite flying a kite on a beach,2,2,"[8, 9, 8]"
b00002570_21i57n_20150517_140026e.jpg,a person flying a kite on a beach.,A man is standing on a beach with a kite.,a man flying a kite on the beach,1,1,"[8, 10, 8]"
b00004333_21i57n_20150521_233855e.jpg,a plate of food sitting on top of a table.,A group of people sitting at a table with a plate of food.,a man is sitting at a table with a cup,2,8,"[10, 13, 10]"
b00004349_21i57n_20150521_234620e.jpg,a group of people standing around a table.,A group of people are enjoying a meal in a restaurant.,a group of people sitting around a table with food,4,7,"[8, 11, 10]"
b00004730_21i57n_20150522_131414e.jpg,a person is standing on the side of a road.,A person is holding a large white dog in a bench.,a person is sitting on a car in a park,1,6,"[10, 11, 10]"
b00002430_21i57n_20150509_222034e.jpg,a group of people sitting around a table.,A man in a restaurant eating a piece of food.,a group of people sitting around a table,1,6,"[8, 10, 8]"
b00005716_21i57n_20150524_022135e.jpg,a woman and a woman are playing a video game.,A man is holding a phone in his hand.,a man is holding a bicycle in his hand,1,2,"[10, 9, 9]"
b00003237_21i57n_20150520_125935e.jpg,a couple of people sitting at a table with food.,A man is sitting at a table with a plate of food.,a man is sitting at a table with a bowl,1,3,"[10, 12, 10]"
b00002927_21i57n_20150517_163727e.jpg,a woman sitting at a table with a laptop.,A group of people sitting at a table with a laptop.,a man is standing in front of a bicycle,1,5,"[9, 11, 9]"
b00003147_21i57n_20150520_121757e.jpg,a group of people standing around a table.,A man in a restaurant looking at a laptop.,a group of people sitting around a table,1,8,"[8, 9, 8]"
b00002840_21i57n_20150510_162830e.jpg,a person riding a bike down a street.,A man is flying a kite in the street.,a bicycle is parked on the side of a road,3,6,"[8, 9, 10]"
b00005579_21i57n_20150523_172511e.jpg,a man riding a bike down a dirt road.,A man is riding a motorcycle down a road.,a man riding a bicycle down a road,2,8,"[9, 9, 8]"
b00002968_21i57n_20150517_165603e.jpg,a close up of a person holding a banana.,A large white and blue sign is on a pole.,a red and white sign on a pole,1,1,"[9, 10, 8]"
b00004360_21i57n_20150521_235124e.jpg,a person sitting at a table with food.,A person is holding a cell phone in their hand.,a man sitting at a table with a spoon,3,6,"[8, 10, 9]"
b00000070_21i57n_20150517_215548e.jpg,a man sitting at a table with a plate of food.,A man is sitting at a table with a plate of food.,a man is sitting at a table with a bottle,2,3,"[11, 12, 10]"
b00002371_21i57n_20150509_193852e.jpg,a couple of people riding bikes down a street.,A man is sitting on a bicycle with a dog on his back.,a man riding a bike down a street,2,8,"[9, 13, 8]"
b00000081_21i57n_20150517_220139e.jpg,a man sitting at a table with a laptop.,A man sitting at a table with a plate of food.,a man is sitting at a table with a dining table,1,2,"[9, 11, 11]"
b00000425_21i57n_20150526_133115e.jpg,a man sitting on a bench with a cell phone.,A man is talking on a cell phone.,a man sitting on a bicycle with a car,3,7,"[10, 8, 9]"
b00002989_21i57n_20150517_170434e.jpg,a man standing in front of a large building.,A man is standing in the middle of a train.,a man and woman are standing in front of a car,2,4,"[9, 10, 11]"
b00003233_21i57n_20150517_185123e.jpg,a person holding a piece of food in their hand.,A person is holding a cell phone in their hand.,a person with a bicycle control in its mouth,1,1,"[10, 10, 9]"
b00000037_21i57n_20150524_164617e.jpg,a woman standing in front of a window.,A woman in a red shirt and a white shirt and a black and white photo.,a woman standing in front of a store with a cake,1,1,"[8, 16, 11]"
b00000393_21i57n_20150518_083039e.jpg,a person holding a cell phone in a kitchen.,A man in a red shirt is holding a cell phone.,a person holding a book control in their hand,1,1,"[9, 11, 9]"
b00005707_21i57n_20150524_021417e.jpg,a blurry photo of a person on a skateboard.,A light light is in the dark and green.,a person is seen in the window of a person,0,0,"[9, 9, 10]"
b00002546_21i57n_20150517_135057e.jpg,a person on a beach with a surfboard.,A man is sitting on a bench with a kite.,a man riding a kite down a street,2,4,"[8, 10, 8]"
